year	division	category	winner	award
2008		Local Sandwiches	Cafe Zupas	medal
2008		Mayor	JoAnn Seghini, Midvale	medal
2008		Mechanical Engineering	Spectrum Engineers	medal
2008		Medical Innovation	Bunnell Inc.	medal
2008		Mexican/Latin American	Alpine Country Club Restaurant	medal
2008		Mexican/Latin American	Cafe Rio	medal
2008		Mexican/Latin American	Las Tarascas	medal
2008		Military Personnel/Unit	CW5 Paul Holton	medal
2008		Mining/Quarrying	Staker and Parson Companies	medal
2008		Misc. Manufacturing Industries	USSynthetic Corporation	medal
2008		Miscellaneous Merchandising/Services	Elase Medical Spa	medal
2008		Miscellaneous Services	Manifest Management	medal
2008		Mortgage Broker	Envision Lending Group	medal
2008		Non-fiction	Clark A. Campbell, The One-Page Project Manager	medal
2008		Nursing	Highland Care Center	medal
2008		Original Music Composition	Mark Geslison	medal
2008		Parks & Recreation Dept	Washington City	medal
2008		Personal Care Products/Cosmetics	USANA Health Sciences	medal
2008		Pharmacies	Depot Drug	medal
2008		Photography	George Frandsen Nature Photography	medal
2008		Pizza	Gold Medal Pizza	medal
2008		Preschool	The Newcastle School	medal
2008		Principal	Angie Alvey, Alpine Academy	medal
2008		Printing/Publishing	Ferrari Color	medal
2008		Private Fitness Facility	Gold's Gym	medal
2008		Public Relations	The Intrepid Group	medal
2008		Public Safety Officer	Eric Johnson	medal
2008		Public/Private School K-12	Lakeridge Jr. High School	medal
2008		Publication	Zions Bank Community Magazine	medal
2008		Real Estate/Appraisal	Ledingham Properties	medal
2008		Recording Studio	Soularium Studios & June Audio	medal
2008		Recreational Attraction	FatCats	medal
2008		Recreational Coach	David Pack	medal
2008		Remodeling/Home Improvement	Any Hour Electric	medal
2008		Research and Development	Utah Dept. of Transportation	medal
2008		Residential Building Subcontractor	AxisPointe	medal
2008		Residential Construction	Rainey Homes	medal
2008		Restoration Services	Utah Disaster Kleenup	medal
2008		Rubber/Plastic Products	Close to My Heart	medal
2008		Screenwriting	Martin Andersen	medal
2008		Sculpture	Tod L. Wadsworth	medal
2008		Small Business	Curb It Recycling	medal
2008		Software Development/Publishers	Imagine Learning	medal
2008		Soup	Cafe Zupas	medal
2008		Specialty Foods	Cakes de Fleur	medal
2008		Structural Engineering	Reaveley Engineers & Associates	medal
2008		Support Personnel	DeAnn Dimond, Granite District	medal
2008		Teacher K-12	Lu Ann Staheli, Payson Jr. High	medal
2008		Telecommunications	Tonaquint Center Development	medal
2008		Theater Group/Director	Hale Centre Theatre	medal
2008		Transportation Equipment	International Armoring Corporation	medal
2008		Transportation Services	Keystone Aviation	medal
2008		Travel Agencies	Columbus Travel	medal
2008		Vacation Resorts	Zermatt Resort & Spa	medal
2008		Web Design	Struck	medal
2008		Web Development	Agency Fusion	medal
2008		Web-based Community Resource	Utah.Gov	medal
2008		Youth Treatment Center	New Haven	medal
2009	Arts & Entertainment		Forever Strong	statue
2009	Business Services		Ralph L. Wadsworth Construction	statue
2009	Community Development		International Armoring Corporation	statue
2009	Dining Establishments		Tree Room at Sundance	statue
2009	Education		337 Project	statue
2009	Hospitality, Travel & Tourism		America's Freedom Festival at Provo	statue
2009	Merchandising & Consumer Services		Overstock.com	statue
2009	Production & Manufacturing		Amano Artisan Chocolate	statue
2009	Science & Tech		Van Boerum & Frank Associates	statue
2009	Sports & Recreation		Apa Sherpa	statue
2010	Arts & Entertainment	Actor	MAX ROBINSON	medal
2010	Arts & Entertainment	Carving	BRIAN BAITY	medal
2010	Arts & Entertainment	Ceramics/Glass	THOMAS HOLDMAN/HOLDMAN STUDIOS	medal
2010	Arts & Entertainment	Children's Performing Group	VIVALDI QUINTET	medal
2010	Arts & Entertainment	Choreographer	JENNY HILL-BARLOW	medal
2010	Arts & Entertainment	Community Arts	MOUNTAIN WEST BALLET	medal
2010	Arts & Entertainment	Dance Group	ODYSSEY DANCE THEATRE	medal
2010	Arts & Entertainment	Drawing/Illustration	DARIN ASHBY	medal
2010	Arts & Entertainment	Fiction	BRANDON MULL, FABLEHAVEN	medal
2010	Arts & Entertainment	Individual Dancer	ELDON JOHNSON	medal
2010	Arts & Entertainment	Instructional/Corporate Video	COSMIC PICTURES	medal
2010	Arts & Entertainment	Instrumental Group	FRY STREET QUARTET	medal
2010	Arts & Entertainment	Non-Fiction	LU ANN BROBST STAHELI	medal
2010	Arts & Entertainment	Photography-Nature	GEORGE FRANDSEN	medal
2010	Arts & Entertainment	Photography-Portrait	BUSATH PHOTOGRAPHY, STUDIO & GARDENS	medal
2010	Arts & Entertainment	Publication	ZIONS BANK COMMUNITY MAGAZINE	medal
2010	Arts & Entertainment	Sculpture	TOD L. WADSWORTH	medal
2010	Arts & Entertainment	Specialty Act	JASON HEWLETT	medal
2010	Arts & Entertainment	Talent Representation	TALENT MANAGEMENT GROUP	medal
2010	Arts & Entertainment	Theater Group	HALE CENTRE THEATRE	medal
2010	Arts & Entertainment	Vocal Group	UTAH CHAMBER ARTISTS	medal
2010	Arts & Entertainment	Vocal/Instrumental Band	CALEB CHAPMAN & THE CRESCENT SUPER BAND	medal
2010	Arts & Entertainment	Youth Dance Group	CLASSICAL BALLET ACADEMY	medal
2010	Arts & Entertainment	Youth Instrumental Group	AMERICAN HERITAGE LYCEUM PHILHARMONIC	medal
2010	Business Services	Accounting	TANNER LC	medal
2010	Business Services	Advertising Agencies	THOMASARTS	medal
2010	Business Services	Alternative Health Care	CARESOURCE	medal
2010	Business Services	Animal Care	UNIVERSITY VETERINARY HOSPITAL & DIAGNOSTIC CENTER	medal
2010	Business Services	Architects	MHTN ARCHITECTS	medal
2010	Business Services	Banking	ZIONS BANK	medal
2010	Business Services	Commercial Building Subcontractor	CHILD ENTERPRISES	medal
2010	Business Services	Construction-Commercial	LAYTON COMPANIES	medal
2010	Business Services	Construction-Heavy	WADSWORTH BROTHERS CONSTRUCTION	medal
2010	Business Services	Customer Servicing/Call Centers	1-800-CONTACTS	medal
2010	Business Services	Data Services	GALILEO PROCESSING	medal
2010	Business Services	Employment Agencies	INNOVATIVE STAFFING	medal
2010	Business Services	Environmental Impact	ROCKY MOUNTAIN RECYCLING	medal
2010	Business Services	Financial Services	GPS CAPITAL MARKETS	medal
2010	Business Services	Food Services & Distributors	NICHOLAS & COMPANY	medal
2010	Business Services	Graphic Design	RISER MEDIA	medal
2010	Business Services	Health Care Facilities	OREM REHABILITATION & NURSING	medal
2010	Business Services	Insurance	EQUITABLE LIFE & CASUALTY INSURANCE	medal
2010	Business Services	Language Services	U.S. TRANSLATION COMPANY	medal
2010	Business Services	Legal Services	JONES WALDO	medal
2010	Business Services	Miscellaneous Services	MAVERIK	medal
2010	Business Services	Mortgage Banking	AXIOM FINANCIAL	medal
2010	Business Services	Mortgage Broker	FLAGSHIP FINANCIAL GROUP	medal
2010	Business Services	Nursing	COMMUNITY NURSING SERVICES HOME HEALTH	medal
2010	Business Services	Pharmacies	DEPOT DRUG	medal
2010	Business Services	Property Management	REAL PROPERTY MANAGEMENT	medal
2010	Business Services	Public Relations	INTREPID	medal
2010	Business Services	Real Estate/Appraisal	EQUITY REAL ESTATE	medal
2010	Community Development	Animal Services	SALT LAKE COUNTY ANIMAL SERVICES	medal
2010	Community Development	Associations/Chambers	HISTORIC 25 ASSOCIATION	medal
2010	Community Development	Charitable/Service Organization	CHILDREN'S MIRACLE NETWORK	medal
2010	Community Development	City Planning	MICHAEL G. COULAM	medal
2010	Community Development	Corporate Giving	ZIONS BANK	medal
2010	Community Development	Economic Development	UTAH FUND OF FUNDS	medal
2010	Community Development	Education/Advocacy Organization	UNIVERSITY OF UTAH SCHOOL OF MEDICINE ALUMNI BOARD	medal
2010	Community Development	Employer	USANA HEALTH SCIENCES	medal
2010	Community Development	Entrepreneur	JEANETTE LYNTON	medal
2010	Community Development	Individual Humanitarian	JEREMY JOHNSON	medal
2010	Community Development	Individual Volunteer	MARTY VAL HILL	medal
2010	Community Development	International Business	INTERNATIONAL ARMORING CORPORATION	medal
2010	Community Development	Large Business	EBAY	medal
2010	Community Development	Mayor	TOM DOLAN, SANDY	medal
2010	Community Development	Parks & Recreation Department	CITY OF LOGAN PARKS & RECREATION DEPT.	medal
2010	Community Development	Public Safety	UDOT STUDENT NEIGHBORHOOD ACCESS PROGRAM (SNAP)	medal
2010	Community Development	Public Safety Officer	E. ROBBY RUSSO	medal
2010	Community Development	Public Works	UTAH DEPARTMENT OF TRANSPORTATION	medal
2010	Community Development	Small Business	LISMAN STUDIO INTERIOR DESIGN	medal
2010	Community Development	Web-based Community Resource	UTAH.GOV	medal
2010	Dining Establishments	American	American: AU NATURALE	medal
2010	Dining Establishments	American	THE GARDEN RESTAURANT AT TEMPLE SQUARE	medal
2010	Dining Establishments	American Artisan	TREE ROOM AT SUNDANCE	medal
2010	Dining Establishments	American Contemporary	LOG HAVEN	medal
2010	Dining Establishments	American Continental	ZOOM IN PARK CITY	medal
2010	Dining Establishments	American Pub	RED ROCK BREWING COMPANY	medal
2010	Dining Establishments	American Traditional	CHEF'S TABLE	medal
2010	Dining Establishments	Asian/Pacific	BAMBOO HUT	medal
2010	Dining Establishments	Asian/Pacific	BANGKOK THAI ON MAIN	medal
2010	Dining Establishments	Asian/Pacific	RUMBI ISLAND GRILL	medal
2010	Dining Establishments	Authentic Mexican	IRMITA'S MEXICAN FOOD	medal
2010	Dining Establishments	Baked Goods	KNEADERS BAKERY & CAFE	medal
2010	Dining Establishments	Baked Goods	NOTHING BUNDT CAKES	medal
2010	Dining Establishments	Boston Style Pizza	NICOLITALIA PIZZERIA	medal
2010	Dining Establishments	Brats & Hot Dogs	THE ART-FUL HOT DOG HAUS	medal
2010	Dining Establishments	Brunch Buffet	FOUNDRY GRILL, SUNDANCE	medal
2010	Dining Establishments	Brunch, Plated	THE BLUE BOAR INN & RESTAURANT	medal
2010	Dining Establishments	Buffets	SCHNEITTER'S AT ZERMATT	medal
2010	Dining Establishments	Chef	CHEF FRANCK PEISSEL	medal
2010	Dining Establishments	Classic Pizza	THE PIE PIZZERIA	medal
2010	Dining Establishments	Convenience Foods	MAVERIK	medal
2010	Dining Establishments	European	THE BLUE BOAR INN & RESTAURANT	medal
2010	Dining Establishments	Family Pizza	SUMMIT INN PIZZA & ICE CREAM	medal
2010	Dining Establishments	Franchise Burgers	CARL'S JR.	medal
2010	Dining Establishments	Franchise Sandwiches	SUBWAY	medal
2010	Dining Establishments	Franchisee	ROBERT SHERWOOD, SUBWAY OF UTAH	medal
2010	Dining Establishments	French	FRANCK'S	medal
2010	Dining Establishments	Frozen Yogurt	RED MANGO	medal
2010	Dining Establishments	Gourmet Pizza	PIZZERIA SEVEN TWELVE	medal
2010	Dining Establishments	Ice Cream	SUB ZERO ICE CREAM	medal
2010	Dining Establishments	Italian	LUGANO	medal
2010	Dining Establishments	Japanese	YUKI ARASHI SUSHI & ASIAN TAPAS	medal
2010	Dining Establishments	Local Burgers	HI MOUNTAIN DRUG	medal
2010	Dining Establishments	Local Pizza	CAFE GALLERIA	medal
2010	Dining Establishments	Local Sandwiches	CAFE ZUPAS	medal
2010	Dining Establishments	Mexican/Latin American	COSTA VIDA	medal
2010	Dining Establishments	Middle Eastern/Indian	TASTE OF INDIA	medal
2010	Dining Establishments	New American	COMMUNAL	medal
2010	Dining Establishments	New American	PAGO	medal
2010	Dining Establishments	New York Style Pizza	NYPD PIZZA	medal
2010	Dining Establishments	Pastries	BACKEREI & EIS AT ZERMATT	medal
2010	Dining Establishments	Salads	CAFE ZUPAS	medal
2010	Dining Establishments	Shakes	HOME OF THE TRAIN/DAIRY KEEN	medal
2010	Dining Establishments	Soup	CAFE ZUPAS	medal
2010	Dining Establishments	Specialty Foods	CAKES DE FLEUR	medal
2010	Dining Establishments	Sushi	ICHIBAN	medal
2010	Dining Establishments	Sushi	MIKADO	medal
2010	Dining Establishments	Texas Barbeque	TOMMY'S TEXAS BBQ	medal
2010	Dining Establishments	Tuscan	TUSCANY	medal
2010	Dining Establishments	Western Barbeque	HOLY SMOKE BBQ & GRILL	medal
2010	Education	Administrator	PAUL WINKELMAN	medal
2010	Education	Adult Education	ENGLISH LANGUAGE CENTER OF CACHE VALLEY	medal
2010	Education	Arts in Education	BEN LOMOND HIGH SCHOOL BAGPIPE CORPS	medal
2010	Education	College/University Teacher	PROFESSOR MARTY VAL HILL, SPHR	medal
2010	Education	Curriculum Development	AMERICAN WEST CENTER	medal
2010	Education	Educational Institution/Service	SCHOOL IMPROVEMENT NETWORK	medal
2010	Education	On-line Education	WESTERN GOVERNORS UNIVERSITY	medal
2010	Education	Principal	RICHARD D. CLARK, MOUNTAIN VIEW HIGH SCHOOL	medal
2010	Education	Private Preschool	DANCING MOOSE MONTESSORI SCHOOL	medal
2010	Education	Public Preschool Program	SALT LAKE CAP HEAD START	medal
2010	Education	Public/Private School K-12	WASATCH ACADEMY	medal
2010	Education	Special Education	DIANE M. NAHALEWSKI, PARK LANE ELEMENTARY	medal
2010	Education	Student K-12	MARISA NIELSON, MOUNTAIN CREST HIGH SCHOOL	medal
2010	Education	Support Personnel	PROVO SCHOOL DISTRICT CHILD NUTRITION DEPARTMENT	medal
2010	Education	Vocational Training	OGDEN-WEBER APPLIED TECHNOLOGY COLLEGE	medal
2010	Education	Volunteer	DAVID F. PACK, PH.D.	medal
2010	Hospitality, Travel & Tourism	Adventure Travel	WESTERN RIVER EXPEDITIONS/MOAB ADVENTURE CENTER	medal
2010	Hospitality, Travel & Tourism	Bed & Breakfast	THE BLUE BOAR INN & RESTAURANT	medal
2010	Hospitality, Travel & Tourism	Bridal/Wedding Services	SCENEMAKERS PREMIERE SOCIAL EVENTS	medal
2010	Hospitality, Travel & Tourism	Caterers	CULINARY CRAFTS	medal
2010	Hospitality, Travel & Tourism	Convention and Meeting Facilities	THE GRAND AMERICA HOTEL	medal
2010	Hospitality, Travel & Tourism	Convention and Meeting Services	SCENEMAKERS/MODERN EVENTS	medal
2010	Hospitality, Travel & Tourism	Day Spas	SPA AT SUNDANCE	medal
2010	Hospitality, Travel & Tourism	Destination Management	GEP UTAH	medal
2010	Hospitality, Travel & Tourism	Destination Spas	RED MOUNTAIN RESORT & SPA	medal
2010	Hospitality, Travel & Tourism	Event Planner	LIBELLA EVENT PLANNING & DESIGN	medal
2010	Hospitality, Travel & Tourism	Event/Performance Venue	ZERMATT RESORT & CONFERENCE CENTER	medal
2010	Hospitality, Travel & Tourism	Fairs/Festivals/Events	AMERICA'S FREEDOM FESTIVAL AT PROVO	medal
2010	Hospitality, Travel & Tourism	Fishing/River Outfitters	WESTERN RIVER EXPEDITIONS	medal
2010	Hospitality, Travel & Tourism	Golf Course	RED LEDGES	medal
2010	Hospitality, Travel & Tourism	Hospitality Services	TUSCANY/FIVE DIAMOND HOSPITALITY	medal
2010	Hospitality, Travel & Tourism	Hotels	THE GRAND AMERICA HOTEL	medal
2010	Hospitality, Travel & Tourism	Inns	THE BLUE BOAR INN & RESTAURANT	medal
2010	Hospitality, Travel & Tourism	Museums/Attractions	ROAD ISLAND DINER	medal
2010	Hospitality, Travel & Tourism	Travel Agencies	CHRISTOPHERSON BUSINESS TRAVEL	medal
2010	Hospitality, Travel & Tourism	Vacation Resorts	SUNDANCE RESORT	medal
2010	Merchandising & Consumer Services	Analytical Animal Training	ALPHA DOG TRAINING	medal
2010	Merchandising & Consumer Services	Apparel	CARILOHA	medal
2010	Merchandising & Consumer Services	Art Galleries	WILLIAMS FINE ART	medal
2010	Merchandising & Consumer Services	Assisted Living Facilities	COURTYARD AT JAMESTOWN	medal
2010	Merchandising & Consumer Services	Auditory Services	HOUSE OF HEARING	medal
2010	Merchandising & Consumer Services	Auto Dealers-New	KEN GARFF AUTOMOTIVE GROUP	medal
2010	Merchandising & Consumer Services	Auto Dealers-Used	SALT LAKE IMPORTS	medal
